"","i","OR","SE","upper","lower"
"1","ukb-b-19953",0.870854699307156,0.0354009989922377,0.933425451273877,0.812478282299201
"2","ukb-b-7376",0.872798683700729,0.0363996178177752,0.937341969066557,0.812699705560324
"3","ukb-b-14068",0.867431927643413,0.0413845606641478,0.940724928024833,0.799849272278776
"4","ukb-b-7859",0.869394692137798,0.0397810278782758,0.939894869428585,0.804182632869247
"5","ukb-b-19379",0.869767313458657,0.0394058211570825,0.939606461430072,0.805119175542611
"6","ukb-b-19921",0.871926752984944,0.0370535135269818,0.937606459336672,0.810847936253261
"7","ukb-b-10787",0.866147749491072,0.0425050023590336,0.941397346280159,0.796913149280523
"8","ebi-a-GCST004607",0.873093936166554,0.040044933842212,0.944382450128262,0.807186771913512
"9","ebi-a-GCST004626",0.869942200832756,0.0396595959594161,0.940262960821842,0.804880617788298
"10","ukb-d-30080_irnt",0.867664587831406,0.0394025150342018,0.937328820680898,0.803177946059272
"11","ieu-b-30",0.869691689233413,0.0395495560713016,0.939789485464288,0.804822405464557
"12","ebi-a-GCST005195",0.865432451228108,0.0385079158953933,0.933279605939084,0.802517619449167
"13","ebi-a-GCST004614",0.869922337109064,0.0396487846322979,0.940221567742045,0.804879295014128
"14","ebi-a-GCST004620",0.869337792106597,0.0395014128377277,0.939318425004577,0.804570821424151
