"","i","OR","SE","upper","lower"
"1","ukb-b-19953",1.07165905773228,0.062760200481312,2.10804911573142,0.544794296987323
"2","ukb-b-7376",1.09680520246941,0.0657591980594875,2.22840425287839,0.539839955255019
"3","ukb-b-14068",1.08738769177867,0.0650045993820085,2.19137190439197,0.53957613943208
"4","ukb-b-7859",1.12213365934783,0.0679139065204679,2.3334406175371,0.539625452637576
"5","ukb-b-19379",1.09709546495573,0.0663571366864325,2.24340799194313,0.536513404404838
"6","ukb-b-19921",1.09946966594382,0.0662470584347078,2.24559659912573,0.53831286830468
"7","ukb-b-10787",1.1111703436736,0.0669980813641976,2.28794295430843,0.539654859110293
"8","ebi-a-GCST004607",1.06003276732412,0.0642999547191512,2.12007895748816,0.530013027973324
"9","ebi-a-GCST004626",1.06162126183462,0.0644893215560402,2.127594754253,0.529724799013726
"10","ukb-d-30080_irnt",1.0821213303724,0.0641935125920875,2.16177441991744,0.541678429931489
"11","ieu-b-30",1.07766387845461,0.0641104594114521,2.15094305297312,0.539930349769399
"12","ebi-a-GCST005195",1.08967076944339,0.0639245909781581,2.17055456536434,0.54704102109501
"13","ebi-a-GCST004614",1.07087676845937,0.0643509844873554,2.14294560920354,0.535140531939213
"14","ebi-a-GCST004620",1.07922901902441,0.0642407774726237,2.15709518766918,0.539955437368956
