"","i","OR","SE","upper","lower"
"1","ukb-b-19953",0.920721235179849,0.031548220790626,0.979450624219793,0.865513352024648
"2","ukb-b-7376",0.920945313594625,0.0314922626291309,0.97958155133064,0.86581895042818
"3","ukb-b-14068",0.920795922011684,0.0314913831697327,0.979420959773499,0.865679993400821
"4","ukb-b-7859",0.920140753592658,0.0314823270767817,0.978706706090116,0.865079396262058
"5","ukb-b-19379",0.920260524554953,0.0314816839128291,0.978832866424345,0.865193090775333
"6","ukb-b-19921",0.920735057858744,0.0314861154042542,0.979346108909867,0.865631709829121
"7","ukb-b-10787",0.918384301741021,0.0314790862843503,0.976832253186935,0.863433535218187
"8","ebi-a-GCST004607",0.921976853675708,0.0316530516534888,0.980987875350242,0.866515621724956
"9","ebi-a-GCST004626",0.920434254443999,0.0315158023240575,0.979083124939675,0.865298558593867
"10","ukb-d-30080_irnt",0.919096452809268,0.0314852132519038,0.977601466885403,0.864092698487738
"11","ieu-b-30",0.92025105166501,0.0314861440836377,0.978831347450423,0.865176621382622
"12","ebi-a-GCST005195",0.917891955606719,0.0316906910020103,0.976713576406837,0.862612809445156
"13","ebi-a-GCST004614",0.92042874083615,0.0315023993646469,0.979051540185512,0.865316106644083
"14","ebi-a-GCST004620",0.919992959026993,0.0315141770569926,0.978610593362167,0.864886452691411
