,i,OR,SE,upper,lower
1,ukb-b-19953,1.07,0.06,2.11,0.54
2,ukb-b-7376,1.10,0.07,2.23,0.54
3,ukb-b-14068,1.09,0.07,2.19,0.54
4,ukb-b-7859,1.12,0.07,2.33,0.54
5,ukb-b-19379,1.10,0.07,2.24,0.54
6,ukb-b-19921,1.10,0.07,2.25,0.54
7,ukb-b-10787,1.11,0.07,2.29,0.54
8,ebi-a-GCST004607,1.06,0.06,2.12,0.53
9,ebi-a-GCST004626,1.06,0.06,2.13,0.53
10,ukb-d-30080_irnt,1.08,0.06,2.16,0.54
11,ieu-b-30,1.08,0.06,2.15,0.54
12,ebi-a-GCST005195,1.09,0.06,2.17,0.55
13,ebi-a-GCST004614,1.07,0.06,2.14,0.54
14,ebi-a-GCST004620,1.08,0.06,2.16,0.54
15,ukb-b-19953,1.63,0.07,5.21,0.51
16,ukb-b-7376,1.63,0.07,5.42,0.49
17,ukb-b-14068,1.63,0.07,5.36,0.49
18,ukb-b-7859,1.64,0.07,5.58,0.48
19,ukb-b-19379,1.63,0.07,5.46,0.49
20,ukb-b-19921,1.63,0.07,5.44,0.49
21,ukb-b-10787,1.65,0.07,5.56,0.49
22,ebi-a-GCST004607,1.60,0.07,5.27,0.49
23,ebi-a-GCST004626,1.60,0.07,5.27,0.49
24,ukb-d-30080_irnt,1.63,0.07,5.32,0.50
25,ieu-b-30,1.63,0.07,5.32,0.50
26,ebi-a-GCST005195,1.65,0.07,5.32,0.51
27,ebi-a-GCST004614,1.62,0.07,5.29,0.49
28,ebi-a-GCST004620,1.63,0.07,5.32,0.50
,,,,,
